,County,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,Allegany,1,0,1,4,8,7,5,8,9,3,0
1,Anne Arundel,3,0,2,2,5,3,3,3,2,0,0
2,Baltimore,0,1,6,8,17,17,8,19,7,11,0
3,Calvert,0,0,0,0,1,0,1,3,1,4,0
4,Caroline,0,0,0,1,3,1,4,1,9,0,0
5,Carroll,0,0,0,1,1,5,5,2,2,3,0
6,Cecil,0,0,0,1,0,1,3,2,4,0,0
7,Charles,0,0,0,1,1,1,1,0,0,1,0
8,Dorchester,0,0,0,0,0,2,2,1,0,0,0
9,Frederick,1,0,2,2,6,5,6,5,7,7,0
10,Garrett,0,2,0,2,0,5,7,16,5,3,0
11,Harford,1,3,0,3,1,1,5,9,2,3,0
12,Howard,0,0,7,1,10,12,7,9,3,1,0
13,Kent,0,0,0,0,0,0,0,0,0,0,0
14,Montgomery,2,2,2,3,10,11,19,6,10,2,0
15,Prince George's,2,0,3,4,1,2,2,4,2,3,0
16,Queen Anne's,0,0,0,0,1,0,1,2,2,1,0
17,St. Mary's,0,0,1,0,2,1,0,0,0,0,0
18,Somerset,0,0,0,0,0,0,1,0,1,0,0
19,Talbot,0,0,0,0,0,0,0,1,0,0,0
20,Washington,0,0,0,3,2,2,2,2,4,1,0
21,Wicomico,0,0,0,0,0,1,0,1,0,2,0
22,Worcester,0,0,0,0,1,0,0,0,0,0,0
