,County,Population,Area,# of Black Raspberry,# of Wineberry,Black Raspberry Rank,Wineberry Rank
0,Allegany,68110,427.62,46.0,49.0,High,Medium
1,Anne Arundel,592645,418.37,23.0,300.0,Low,Medium
2,Baltimore,854513,597.6,94.0,843.0,Medium,Medium
3,Calvert,92791,213.23,10.0,314.0,High,High
4,Caroline,33296,320.79,19.0,4.0,High,Low
5,Carroll,172886,451.98,19.0,136.0,Medium,Medium
6,Cecil,103721,359.55,11.0,89.0,High,High
7,Charles,166609,451.58,5.0,56.0,Low,Low
8,Dorchester,32522,593.22,5.0,3.0,High,Low
9,Frederick,271710,662.72,41.0,362.0,Medium,High
10,Garrett,28806,656.83,40.0,6.0,High,Low
11,Harford,260933,447.64,28.0,142.0,Medium,Medium
12,Howard,332311,251.0,50.0,391.0,High,High
13,Kent,19198,278.34,0.0,29.0,Low,High
14,Montgomery,1062079,495.44,67.0,1754.0,Medium,High
15,Prince George's,967231,487.01,23.0,310.0,Low,Low
16,Queen Anne's,49881,371.86,7.0,55.0,High,High
17,St. Mary's,113772,372.54,4.0,41.0,Low,Medium
18,Somerset,24615,338.41,2.0,3.0,Medium,Low
19,Talbot,37523,258.62,1.0,20.0,Low,High
20,Washington,154699,454.97,16.0,135.0,Medium,Medium
21,Wicomico,103596,379.1,4.0,4.0,Low,Low
22,Worcester,52464,474.86,1.0,10.0,Low,Low
23,Baltimore City,585729,80.34,,,,
