,County,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,Allegany,0,1,1,10,2,10,8,5,4,8,0
1,Anne Arundel,8,7,10,13,54,28,40,31,40,69,0
2,Baltimore,6,14,32,74,132,102,94,121,122,144,2
3,Calvert,0,3,2,6,7,15,33,39,41,168,0
4,Caroline,0,0,0,0,0,1,2,0,1,0,0
5,Carroll,3,5,4,4,16,20,15,19,20,30,0
6,Cecil,1,1,0,2,2,5,11,23,34,10,0
7,Charles,0,0,1,6,6,15,3,11,6,8,0
8,Dorchester,0,0,0,0,0,0,1,1,0,1,0
9,Frederick,4,8,13,20,40,43,48,49,51,85,1
10,Garrett,0,0,0,0,1,0,1,1,2,1,0
11,Harford,4,3,4,12,15,18,27,20,21,18,0
12,Howard,24,34,27,48,57,44,33,52,32,39,1
13,Kent,0,0,0,2,5,3,1,6,5,7,0
14,Montgomery,15,170,52,63,198,266,212,380,177,216,5
15,Prince George's,0,5,22,24,24,34,28,45,57,66,5
16,Queen Anne's,0,1,2,2,4,8,8,14,6,10,0
17,St. Mary's,0,1,0,3,5,8,4,7,2,11,0
18,Somerset,0,0,0,0,0,1,0,0,1,1,0
19,Talbot,0,0,0,1,3,3,0,3,6,4,0
20,Washington,4,1,2,8,9,23,26,12,19,31,0
21,Wicomico,0,0,0,0,0,0,0,0,1,3,0
22,Worcester,0,0,0,0,2,1,3,1,2,1,0
